id,name
1,"Executive Management"
2,"Finance and Accounting"
3,"Legal Affairs"
4,"Human Resources"
5,"Information Technology"
6,Marketing
7,"Sales Department"
8,Distribution
9,"Public Relations"
10,"Production Development"
11,Operations
12,"Business Affairs"
13,"Corporate Communications"
14,"Creative Affairs"
15,"Risk Management"
16,Procurement
17,"Corporate Strategy"
18,"Product Management"
19,"Archival & Library Services"
20,"Research & Development"
21,"Data Analysis & Reporting"
22,"Corporate Philanthropy"
23,"Environmental, Social, and Governance (ESG) Initiatives"
24,"Facilities Management"
